corporate_name_s2,main_customers,revenue,profit
Massive Dynamic 2302 Ltd.,RetailCo,8244660.14,953684.77
Monarch 238 Limited,BuildIt|MegaMart|SupplyHub|RetailCo,9002740.97,847029.35
Wonka 1253,RetailCo|BuildIt,351109.59,87485.35
Aperture 1926,MegaMart|SupplyHub|BuildIt,7496201.77,159941.59
Initech 2379,SupplyHub,7248917.41,1416067.16
"Initech 219, Ltd",BuildIt|SupplyHub|RetailCo|UrbanWorks,3091682.73,352167.54
VEHEMENT 2186 Ltd,SupplyHub,9279607.0,499615.44
TYRELL 2487 Ltd,RetailCo,3258355.2,495846.42
Cyberdyne 1174 Corp,RetailCo|SupplyHub|UrbanWorks|BuildIt,5128701.69,581121.78
OSCORP 1429 Corp,SupplyHub,7062983.29,1542719.8
ABSTERGO 2014 Corp,RetailCo|BuildIt|CoreTrade|UrbanWorks,4174072.58,407337.34
Hooli 2402 Ltd.,MegaMart|UrbanWorks|RetailCo,8906496.42,1333092.22
"Massive Dynamic 1498, Corporation",BuildIt,9815211.31,471698.61
STARK 610 Limited,CoreTrade|MegaMart|UrbanWorks,6773792.27,315162.4
"LexCorp 1559, Ltd",MegaMart|SupplyHub,1083012.97,182846.58
Gringotts 2162 Corp.,BuildIt,5368104.08,447461.96
"Wonka 2451, Limited",UrbanWorks|BuildIt,7005825.79,566388.67
"LexCorp 1993, Corp",RetailCo|SupplyHub|MegaMart,6826389.79,372383.71
Aperture 1016 Corporation.,MegaMart|UrbanWorks,5589751.07,200345.7
"Blue Sun 2163, Corporation",SupplyHub|BuildIt|RetailCo|MegaMart,3979890.09,172329.17
HOOLI 2024 Corp,RetailCo|CoreTrade|SupplyHub|UrbanWorks,3690746.13,734913.81
Stark 1727 Ltd.,MegaMart|CoreTrade|RetailCo,4937271.89,310747.86
Aperture 1589 Corp.,MegaMart|BuildIt|RetailCo,5309930.47,824606.05
Vehement 771,RetailCo|UrbanWorks,4317352.54,201435.76
Wonka 2070 Corp,UrbanWorks|SupplyHub|MegaMart|CoreTrade,6994816.27,1385731.94
Tyrell 85 Corporation.,CoreTrade|MegaMart|UrbanWorks|SupplyHub,1360149.21,158733.03
Initech 571,CoreTrade|MegaMart,2256516.36,268114.56
Aperture 66 LLC,CoreTrade|RetailCo,5652977.96,258516.29
Abstergo 1859,MegaMart|RetailCo,2176686.81,446226.11
Soylent 1534,RetailCo,8311562.55,915092.07
OSCORP 289 Corp,BuildIt|SupplyHub|UrbanWorks|RetailCo,2594758.27,560105.14
MONARCH 554 Limited,SupplyHub,5769869.13,470904.69
MASSIVE DYNAMIC 911 LLC,RetailCo|BuildIt|MegaMart,1632307.95,277267.85
GRINGOTTS 2467 Corp,CoreTrade|MegaMart,1723857.07,100446.55
Pied Piper 1536 Corporation.,RetailCo|SupplyHub,5828746.55,1096667.39
HOOLI 403 LLC,CoreTrade|BuildIt,6798560.23,729687.18
"Pied Piper 674, Limited",RetailCo|CoreTrade|UrbanWorks,8829529.52,889867.97
"Soylent 431, LLC",MegaMart|BuildIt|CoreTrade,7894969.83,1112137.01
"Wonka 105, Ltd",CoreTrade|RetailCo,9057900.94,1397980.72
"Monarch 1293, Corp",MegaMart|RetailCo,243588.18,28856.77
Vehement 335 LLC.,SupplyHub|CoreTrade|MegaMart,7204862.82,420247.38
LexCorp 2152 LLC,CoreTrade,779529.17,91447.83
Vehement 2150 LLC.,CoreTrade|RetailCo|MegaMart|BuildIt,1624589.36,221005.28
Aperture 368 Inc,RetailCo|MegaMart|SupplyHub,1522320.04,332081.28
INITECH 568 Inc,BuildIt,2854434.31,671811.97
Tyrell 2228 Limited,MegaMart|BuildIt|CoreTrade,3827575.07,491855.0
Cyberdyne 2122 Inc,UrbanWorks,3213083.66,71380.55
Massive Dynamic 2066,CoreTrade,8269825.83,1559847.29
Cyberdyne 1484 Corporation,MegaMart|SupplyHub,5846820.41,466968.47
Initrode 365 Inc.,BuildIt|UrbanWorks|CoreTrade,5501217.09,922216.75
WAYNE 2020 Corporation,SupplyHub|CoreTrade,6228533.23,438167.81
Blue Sun 498,UrbanWorks|SupplyHub|BuildIt|RetailCo,9692313.22,921415.54
"Vehement 102, Ltd",BuildIt|UrbanWorks,3265124.73,470945.3
Soylent 1906 Limited,RetailCo|CoreTrade|BuildIt,960728.62,86755.86
Hooli 25 Ltd,MegaMart|BuildIt,9135015.61,2011706.48
TYRELL 1545 Inc,RetailCo|SupplyHub|UrbanWorks,9417850.21,1601741.28
VIRTUCON 1490 LLC,MegaMart|SupplyHub,1970307.56,64134.39
ABSTERGO 140 Corp,CoreTrade|UrbanWorks|BuildIt,7412186.07,619621.06
"Aperture 442, Corp",SupplyHub|MegaMart,894474.93,216242.18
Monarch 177 Corporation.,SupplyHub|UrbanWorks|MegaMart|CoreTrade,1531955.49,97800.63
Globex 1776 Corporation.,MegaMart|CoreTrade|BuildIt|SupplyHub,8145834.35,1569105.27
Soylent 2310 Corp.,SupplyHub|UrbanWorks,6340211.31,1197087.61
LexCorp 490 Corp.,MegaMart|RetailCo|SupplyHub,2193028.85,481735.82
GRINGOTTS 831 Inc,RetailCo|UrbanWorks|MegaMart,7861911.34,732003.47
Tyrell 1865 Corp.,UrbanWorks|MegaMart|SupplyHub,6001939.24,358147.78
Virtucon 544 LLC,UrbanWorks|SupplyHub,5942666.81,1037502.38
Abstergo 2176,MegaMart|BuildIt|CoreTrade,6672976.53,1461244.27
Abstergo 534 Ltd,SupplyHub|MegaMart|RetailCo|BuildIt,3072614.42,634011.76
LexCorp 1486 Limited,RetailCo|CoreTrade,1256736.36,37899.77
Gringotts 2172 Ltd.,MegaMart|BuildIt|SupplyHub,2360047.94,320314.41
"Initrode 883, Corp",CoreTrade|UrbanWorks|SupplyHub,7444906.1,1139705.16
Abstergo 844,SupplyHub|CoreTrade|MegaMart|BuildIt,4408853.85,916395.7
Vehement 1061,SupplyHub,8233682.13,1684966.12
Abstergo 2022 LLC,UrbanWorks|RetailCo|CoreTrade|BuildIt,6561729.53,742610.43
Aperture 1704,RetailCo,5881226.02,746964.02
MASSIVE DYNAMIC 1183 Corporation,CoreTrade|SupplyHub|RetailCo,708673.99,49643.11
Tyrell 1774,MegaMart|SupplyHub|UrbanWorks|CoreTrade,2456833.28,458987.9
Umbrella 175 Inc,RetailCo|UrbanWorks|SupplyHub,8338217.42,1122543.91
Hooli 938 Corporation,SupplyHub|MegaMart|UrbanWorks|CoreTrade,4049413.3,778383.37
BLUE SUN 1231 LLC,MegaMart|BuildIt,6600394.63,1400310.69
Massive Dynamic 167 Inc.,UrbanWorks|CoreTrade|MegaMart|RetailCo,2953356.17,701110.55
"Massive Dynamic 2477, Inc",CoreTrade,7755278.35,1756918.73
Cyberdyne 1916,CoreTrade|UrbanWorks|BuildIt|SupplyHub,2572675.71,370458.9
"LexCorp 1276, Inc",BuildIt,6301996.03,427684.97
"Monarch 1790, LLC",UrbanWorks|SupplyHub,7177147.37,466619.53
Monarch 2363,MegaMart|SupplyHub,4178828.9,309307.76
"Oscorp 1611, Corporation",BuildIt,5930040.96,788925.53
Blue Sun 2046 Inc,UrbanWorks|MegaMart,4464194.01,615479.45
Tyrell 852,CoreTrade|BuildIt|SupplyHub|UrbanWorks,4792478.01,683875.04
Cyberdyne 715 Ltd,BuildIt|UrbanWorks|MegaMart|SupplyHub,3746684.08,474968.07
Abstergo 1314,CoreTrade,5375269.11,468835.28
UMBRELLA 1378 Limited,UrbanWorks|MegaMart|BuildIt,5917270.16,390573.08
Umbrella 1744 Corporation,RetailCo,4564266.24,356634.98
Vehement 56,UrbanWorks|MegaMart|RetailCo|CoreTrade,9363769.45,207337.78
INITRODE 1903 LLC,MegaMart,2566205.11,410597.15
Oscorp 1725 LLC.,BuildIt|SupplyHub|UrbanWorks,1175519.73,177489.91
Virtucon 903 Inc.,SupplyHub|RetailCo|BuildIt|CoreTrade,8292465.61,1876608.68
Tyrell 375,RetailCo|BuildIt,2229929.78,225592.79
Soylent 623,MegaMart|CoreTrade,9728336.44,513129.88
"Soylent 824, LLC",CoreTrade|UrbanWorks,7124499.99,745083.47
Massive Dynamic 369,CoreTrade|BuildIt|UrbanWorks|RetailCo,1394584.9,146744.14
Aperture 2486 Ltd,BuildIt|CoreTrade,6892049.63,298585.45
Stark 1281,RetailCo|SupplyHub|CoreTrade|BuildIt,5197546.8,188658.91
Cyberdyne 1320 Corp,MegaMart|CoreTrade|UrbanWorks|BuildIt,6482375.97,564283.46
Blue Sun 161,CoreTrade|SupplyHub,3290983.68,255329.71
Wonka 1239,SupplyHub|CoreTrade,6490283.45,291666.9
"LexCorp 1716, Ltd",UrbanWorks,4740509.47,982762.0
Abstergo 120 Ltd.,SupplyHub|MegaMart|CoreTrade|BuildIt,1170177.62,30314.67
"Vehement 1389, Ltd",CoreTrade|BuildIt|MegaMart,5583767.32,484869.48
"Initrode 478, Ltd",UrbanWorks|MegaMart,1595193.5,112150.92
Wayne 351,MegaMart|RetailCo|BuildIt|SupplyHub,3672875.59,556895.37
Tyrell 2464,UrbanWorks|SupplyHub|MegaMart|RetailCo,7261387.3,1148872.31
ABSTERGO 1858 Inc,SupplyHub,1720575.23,88848.82
Acme 839,RetailCo|MegaMart|SupplyHub,7727893.79,1068698.81
TYRELL 2039 Inc,RetailCo|CoreTrade|MegaMart,6108082.74,1468038.59
VIRTUCON 1059 Limited,RetailCo|UrbanWorks,1214045.73,139765.65
Pied Piper 1085 Ltd,CoreTrade,9336996.47,2156246.64
Wonka 2417 LLC,CoreTrade|RetailCo|SupplyHub,1518999.99,196492.86
Monarch 171,CoreTrade|UrbanWorks|BuildIt,610956.57,49745.88
"Blue Sun 1212, Corp",MegaMart|BuildIt|CoreTrade,916850.65,124954.92
Gringotts 1425,BuildIt|MegaMart|CoreTrade,2806312.83,421728.5
WAYNE 2007 Corp,SupplyHub|RetailCo|UrbanWorks|CoreTrade,8368998.13,1228946.28
Abstergo 2111,UrbanWorks,2809298.17,184921.02
Monarch 787 LLC,RetailCo,9704435.98,306472.54
MONARCH 388 LLC,UrbanWorks|MegaMart|SupplyHub,3379271.98,152773.69
Wayne 279 Corporation,MegaMart|RetailCo|UrbanWorks|CoreTrade,4477859.83,401434.31
"Initrode 2206, Corporation",CoreTrade|SupplyHub,1064250.71,92411.75
Globex 236,RetailCo|MegaMart|UrbanWorks|BuildIt,3086140.26,518373.91
Abstergo 1202,UrbanWorks,4867175.8,870320.98
Gringotts 1878,CoreTrade|RetailCo|MegaMart|SupplyHub,969427.2,76637.98
Cyberdyne 195 Limited.,SupplyHub|CoreTrade|BuildIt|MegaMart,2517554.58,288944.53
Globex 379 Ltd,CoreTrade|BuildIt|MegaMart,3688985.38,318648.62
"Gringotts 559, Limited",RetailCo|UrbanWorks|CoreTrade,7136464.2,1181350.62
GLOBEX 856 Inc,CoreTrade|BuildIt,4001408.84,583929.01
UMBRELLA 1261 Corporation,SupplyHub|CoreTrade,8369986.35,290524.33
Massive Dynamic 184 Inc,MegaMart|SupplyHub|BuildIt,9142958.66,984542.71
Initrode 745 Ltd.,BuildIt|CoreTrade|RetailCo|UrbanWorks,674334.52,83598.76
"Stark 1542, Corporation",BuildIt,4745480.33,573090.11
LexCorp 2108 Corporation.,SupplyHub|RetailCo|MegaMart|BuildIt,2009168.07,53841.09
Wayne 1735,BuildIt|UrbanWorks,4052445.45,833750.7
Vehement 428 Ltd,SupplyHub|UrbanWorks|MegaMart,2269373.15,115104.47
"Aperture 1267, Corp",MegaMart|CoreTrade|BuildIt|RetailCo,1420371.68,286832.74
"Virtucon 1509, Corp",MegaMart|RetailCo|UrbanWorks,6688650.93,1413794.6
STARK 2102 LLC,UrbanWorks|SupplyHub,8461773.77,1945576.72
STARK 273 LLC,RetailCo|UrbanWorks|SupplyHub,1228863.73,168709.44
"Wonka 142, Limited",SupplyHub|MegaMart|RetailCo|CoreTrade,1876471.28,43635.7
SOYLENT 1709 Corporation,RetailCo|UrbanWorks|BuildIt,3666345.22,533768.51
WONKA 1762 Corporation,UrbanWorks|MegaMart|BuildIt,1818853.42,204606.61
Tyrell 2488,UrbanWorks|RetailCo|MegaMart,4912779.9,1182908.19
Monarch 2113 Corp.,CoreTrade|BuildIt|RetailCo,9231246.17,715619.35
Aperture 201 Limited.,MegaMart|UrbanWorks|RetailCo,9993798.3,2161330.33
Pied Piper 528 Ltd.,CoreTrade|RetailCo|BuildIt,2661509.87,365839.26
Tyrell 886,MegaMart|UrbanWorks|RetailCo,7947308.79,1780590.93
Blue Sun 2434,UrbanWorks|BuildIt|CoreTrade,7085831.81,430030.38
ABSTERGO 1026 Ltd,UrbanWorks,6591918.68,1539429.59
"Pied Piper 1386, Corp",UrbanWorks,4712426.79,657559.52
Blue Sun 1661 LLC,BuildIt,1047140.42,128468.34
Massive Dynamic 2025 Ltd,SupplyHub|BuildIt|MegaMart,1711327.99,76131.58
Abstergo 1134 Corp.,MegaMart|BuildIt,1270250.63,161224.9
Acme 2211 Corporation.,UrbanWorks|SupplyHub|BuildIt,6908969.5,320459.0
Stark 1592 Corporation.,BuildIt,4899167.58,613738.05
Massive Dynamic 1838 Corporation.,BuildIt|SupplyHub|CoreTrade,7386424.63,796106.01
Monarch 1141 Inc,MegaMart,1443963.57,80484.86
Wonka 89,BuildIt,9021690.18,1832176.22
Gringotts 884 Corp,CoreTrade|MegaMart|UrbanWorks,3847333.32,596975.82
Wayne 1648 Corp,MegaMart,2356855.23,330686.56
Oscorp 1665 Corp,RetailCo|MegaMart,3876409.29,162967.96
Hooli 1160 Inc,SupplyHub|UrbanWorks|RetailCo|MegaMart,5640295.06,245614.08
Oscorp 82 LLC,UrbanWorks,7396673.17,483136.49
Gringotts 2446,UrbanWorks|CoreTrade|MegaMart,1776424.82,39793.52
"Acme 1683, LLC",SupplyHub|CoreTrade|UrbanWorks,3643077.98,537642.06
"Vehement 2250, Corp",MegaMart|RetailCo|BuildIt,2489844.16,346299.34
Initrode 499 Ltd.,BuildIt,2358570.06,347178.39
Initech 1246 Limited.,MegaMart|BuildIt|RetailCo,3905796.35,697302.22
"Stark 1862, Limited",UrbanWorks,3620280.15,466985.09
Gringotts 825 LLC,SupplyHub,2045043.91,381871.74
Umbrella 1951,CoreTrade|UrbanWorks|RetailCo|SupplyHub,8192350.6,527368.86
Virtucon 1994 Corporation.,BuildIt|MegaMart,8193869.2,820441.53
Gringotts 782 Corp,UrbanWorks|BuildIt|SupplyHub|MegaMart,3449176.35,483966.8
OSCORP 443 Corp,CoreTrade,3542921.88,216291.61
"Hooli 1380, Limited",BuildIt|SupplyHub|UrbanWorks|RetailCo,3586812.41,777196.82
Gringotts 1950 Corporation.,CoreTrade|MegaMart,1391805.51,265549.69
Monarch 1421 Limited.,CoreTrade,1749609.46,155522.45
Gringotts 1771 Corporation,UrbanWorks|BuildIt|CoreTrade,310012.46,60314.92
"Wayne 586, LLC",BuildIt|CoreTrade|SupplyHub|RetailCo,6897005.08,1502108.26
MASSIVE DYNAMIC 545 LLC,BuildIt|RetailCo,1257794.15,133150.59
Acme 1714,UrbanWorks|MegaMart|SupplyHub,9893818.8,2363063.79
UMBRELLA 890 LLC,BuildIt|UrbanWorks|SupplyHub,4842309.52,754828.44
BLUE SUN 385 Corporation,RetailCo|MegaMart|UrbanWorks,3346861.89,538863.73
Initech 2198 Corp,CoreTrade|UrbanWorks|RetailCo,4665428.39,290075.81
ABSTERGO 2164 LLC,RetailCo|SupplyHub|CoreTrade|BuildIt,1793188.28,119825.07
Umbrella 2101 Ltd,BuildIt|MegaMart,1160058.87,98566.14
Oscorp 143,MegaMart|SupplyHub|CoreTrade,9745519.82,1435247.68
Umbrella 504,RetailCo|UrbanWorks|CoreTrade,4366697.21,646736.49
Aperture 336 Inc,SupplyHub|CoreTrade|MegaMart,7295462.52,1675546.42
Wayne 1286 Corp,SupplyHub,1862801.58,197273.61
"Vehement 1427, Inc",BuildIt|CoreTrade|SupplyHub|MegaMart,6668221.3,613951.02
Gringotts 1187 Ltd.,CoreTrade|SupplyHub|MegaMart|BuildIt,9193166.06,2164398.49
LexCorp 594 LLC.,RetailCo|BuildIt,9345851.58,470620.29
Acme 2178 Limited,CoreTrade|BuildIt|UrbanWorks|MegaMart,2280530.47,567031.15
Aperture 2366 Corporation,CoreTrade,9132450.43,746239.59
Wonka 647 Corp.,RetailCo|MegaMart|SupplyHub|UrbanWorks,6344468.45,1297435.29
Stark 1165,UrbanWorks,6331759.83,1131667.37
Cyberdyne 343 Ltd,UrbanWorks|RetailCo,2859028.69,688796.08
"Virtucon 1450, Corp",CoreTrade,9376025.68,970320.61
"Wonka 1439, LLC",CoreTrade|BuildIt|UrbanWorks,388504.49,78331.85
Initrode 253 LLC.,MegaMart|RetailCo|UrbanWorks,9297934.48,1959781.27
Gringotts 1357,MegaMart,6890537.08,1681838.93
"Aperture 979, Corp",BuildIt|UrbanWorks|CoreTrade|MegaMart,5530598.22,282483.21
Hooli 952 Inc,SupplyHub|BuildIt|RetailCo|MegaMart,2447677.61,314304.9
CYBERDYNE 1685 Inc,CoreTrade|SupplyHub,2058467.44,123618.63
Oscorp 1493 Limited,UrbanWorks|CoreTrade|SupplyHub,1213659.75,225189.36
Gringotts 88 LLC.,MegaMart|SupplyHub|BuildIt|CoreTrade,4703383.08,572386.45
"Globex 1816, Corp",BuildIt|UrbanWorks,7938686.71,844701.15
Stark 777 Corp.,RetailCo,4878481.02,735952.96
PIED PIPER 2062 Ltd,BuildIt|MegaMart,2066192.56,488957.4
Initech 2132 Corp,UrbanWorks|CoreTrade|MegaMart|BuildIt,8044881.49,1499150.34
"Pied Piper 1475, Ltd",SupplyHub|CoreTrade|UrbanWorks|MegaMart,2234109.32,468136.26
Virtucon 1833 Corporation.,MegaMart|CoreTrade|BuildIt|SupplyHub,4405444.73,813359.58
"Initrode 981, Inc",UrbanWorks|SupplyHub|MegaMart,5282252.06,882619.41
Vehement 2042 Corp,MegaMart|BuildIt,5807465.08,588149.57
Globex 653,MegaMart|CoreTrade|BuildIt,8480400.4,1724912.24
Vehement 458 Ltd.,MegaMart|UrbanWorks|SupplyHub|BuildIt,5425489.82,409205.0
Pied Piper 1345 Corporation,UrbanWorks|SupplyHub|BuildIt,1721524.4,322682.8
Umbrella 1385,RetailCo|CoreTrade|SupplyHub,4298509.29,594388.11
"Soylent 1102, Limited",BuildIt|MegaMart|SupplyHub,9839923.37,285632.05
"Vehement 304, Inc",MegaMart,5321851.91,1289174.32
Wayne 2258,RetailCo|UrbanWorks|SupplyHub,1130206.04,151693.14
Pied Piper 1028 Limited.,BuildIt|RetailCo|UrbanWorks|MegaMart,7113494.47,1489835.22
"Oscorp 433, Corp",RetailCo|CoreTrade,5769746.57,314255.29
SOYLENT 1656 Limited,RetailCo,9178252.7,599171.65
"Vehement 2188, LLC",CoreTrade|BuildIt|UrbanWorks|SupplyHub,8017872.14,189111.55
BLUE SUN 2257 Corp,UrbanWorks|BuildIt|MegaMart,8886434.47,1156280.12
Cyberdyne 9 LLC.,SupplyHub|CoreTrade,788595.97,135709.92
Hooli 1305 Limited.,UrbanWorks,5794770.74,391979.61
Gringotts 54 LLC.,SupplyHub|RetailCo|UrbanWorks,9353591.95,626500.0
Tyrell 588 LLC.,MegaMart,7931658.95,610665.29
SOYLENT 602 Corporation,MegaMart|UrbanWorks,9253814.77,431939.51
Hooli 280 Corporation,BuildIt|SupplyHub|CoreTrade,5122635.16,468177.12
Aperture 352 Inc.,SupplyHub|CoreTrade|RetailCo|BuildIt,6158288.79,245281.94
"Wonka 1558, Inc",SupplyHub|RetailCo|MegaMart,7310657.85,1336955.37
Abstergo 266 Corp.,SupplyHub|RetailCo,8350206.6,1715349.9
Oscorp 1120,MegaMart|SupplyHub|BuildIt|UrbanWorks,5619731.62,1179065.08
Vehement 366 Corp,CoreTrade|BuildIt|SupplyHub,8092758.21,917729.15
"Soylent 867, LLC",RetailCo,4417628.25,941950.17
ABSTERGO 2036 Ltd,SupplyHub|CoreTrade|BuildIt,9923560.83,1587868.5
"Umbrella 2216, Ltd",BuildIt,314412.99,16534.29
"Massive Dynamic 2107, Corporation",CoreTrade|BuildIt|UrbanWorks,6039929.39,127764.73
Initrode 721,MegaMart|CoreTrade|BuildIt|RetailCo,8659836.31,2099506.49
Gringotts 1365,SupplyHub|MegaMart,1455799.52,123344.19
Soylent 1739 Corp.,SupplyHub|CoreTrade|MegaMart,4377558.48,474846.68
Oscorp 108,SupplyHub,8018694.89,1816207.21
Umbrella 2445 Ltd.,SupplyHub,7322548.73,459135.12
Massive Dynamic 1148 Inc,UrbanWorks,4197308.72,563793.08
Aperture 479 Ltd,SupplyHub|MegaMart|UrbanWorks|RetailCo,6413513.06,1505879.11
Oscorp 1579 Corp.,MegaMart|RetailCo|CoreTrade,8339066.97,749737.83
ACME 1095 Ltd,BuildIt|RetailCo|SupplyHub,2303286.7,401711.6
Globex 376 Inc.,UrbanWorks|BuildIt,8835160.82,1506216.52
"Blue Sun 2047, Ltd",MegaMart|SupplyHub|UrbanWorks|BuildIt,926556.43,106586.12
Gringotts 940,UrbanWorks|RetailCo|SupplyHub,6862762.35,1573516.91
"Massive Dynamic 1560, Corporation",MegaMart|UrbanWorks|CoreTrade,8501091.41,1028589.1
VIRTUCON 851 LLC,BuildIt|SupplyHub|UrbanWorks,2887022.7,673077.3
Oscorp 2318,MegaMart,5889077.83,304890.72
Acme 2418 Limited.,BuildIt|RetailCo,1456051.78,299457.3
"LexCorp 1426, Ltd",SupplyHub,3538433.22,133158.91
ACME 237 Limited,RetailCo|MegaMart|BuildIt,4076010.82,724724.6
Soylent 1149 Inc.,SupplyHub|RetailCo|UrbanWorks|MegaMart,9512194.82,663115.76
Cyberdyne 2421 Corporation,MegaMart,5353786.52,1194727.93
"Umbrella 1399, LLC",SupplyHub|BuildIt|MegaMart|CoreTrade,2385135.75,564687.31
ACME 1675 Inc,CoreTrade,6815173.71,226148.31
LexCorp 234 Inc.,BuildIt|CoreTrade|MegaMart|UrbanWorks,4814835.06,957882.16
Umbrella 2080 Limited.,SupplyHub|MegaMart|RetailCo,5854212.46,161026.98
"Stark 2480, Corp",CoreTrade|SupplyHub|MegaMart,3686576.34,498922.31
Umbrella 535,CoreTrade|MegaMart|SupplyHub,1182690.55,241282.51
Umbrella 1289 Corp.,BuildIt|CoreTrade|UrbanWorks,4240415.91,826364.21
"Massive Dynamic 1244, Ltd",MegaMart|UrbanWorks|RetailCo,136667.17,24975.83
Virtucon 450 LLC.,SupplyHub|UrbanWorks|MegaMart,7431356.68,836183.91
"Oscorp 370, Limited",CoreTrade,4718078.41,384610.6
Gringotts 1478,BuildIt,948812.87,121298.87
"Soylent 1823, Ltd",BuildIt,6893230.47,1516967.07
STARK 59 Limited,BuildIt|MegaMart,3094919.72,762236.21
Pied Piper 1563 Limited,RetailCo|SupplyHub|CoreTrade,2529967.67,488884.47
Gringotts 277,CoreTrade|RetailCo|MegaMart|SupplyHub,6843221.44,1525156.13
Umbrella 796 Limited.,CoreTrade|BuildIt|MegaMart|RetailCo,121749.78,12379.76
"Wayne 1864, Ltd",UrbanWorks|MegaMart|RetailCo,2525509.93,119518.71
UMBRELLA 2136 Ltd,MegaMart|CoreTrade|SupplyHub|RetailCo,8272019.65,429391.58
Stark 1234,BuildIt,1924203.63,168850.37
Wayne 641,RetailCo,522693.56,65874.46
Aperture 2221,UrbanWorks|RetailCo|CoreTrade,209094.48,18742.22
Hooli 1448,SupplyHub,8642709.34,284024.0
Initrode 60 Limited.,UrbanWorks|RetailCo|SupplyHub,8189330.94,727680.3
Globex 1121,UrbanWorks|MegaMart,6567441.09,186816.39
Gringotts 1411 Inc,CoreTrade|BuildIt|RetailCo|MegaMart,3592361.33,879733.64
Massive Dynamic 2248 Inc.,CoreTrade|UrbanWorks,9412113.44,2184766.74
Initrode 1137,SupplyHub|BuildIt|MegaMart|RetailCo,2618733.47,93232.92
Acme 719,MegaMart|CoreTrade,8552831.13,1705100.38
Globex 1377 LLC.,RetailCo|SupplyHub|CoreTrade|BuildIt,201696.73,8510.76
VEHEMENT 1585 Corp,MegaMart|RetailCo,6757094.64,1245337.44
ABSTERGO 2227 Corp,RetailCo|BuildIt|CoreTrade,7871113.29,1349440.25
"Wayne 220, Corporation",RetailCo|UrbanWorks,9959681.01,465193.9
"Virtucon 1081, Limited",SupplyHub|MegaMart,2351536.98,177030.73
GLOBEX 1741 Ltd,SupplyHub|BuildIt|MegaMart|UrbanWorks,8837302.74,1269740.43
Pied Piper 354 LLC.,SupplyHub|RetailCo|MegaMart|CoreTrade,1340735.14,124576.23
PIED PIPER 780 Corporation,CoreTrade,2689967.39,248216.01
Cyberdyne 707,MegaMart|SupplyHub,7957155.39,728225.64
Initrode 855 Inc.,SupplyHub|RetailCo,8760192.58,460050.18
SOYLENT 877 Ltd,BuildIt|SupplyHub|CoreTrade,1741851.17,240813.43
Acme 232,CoreTrade|RetailCo|BuildIt,7920848.18,591879.59
LexCorp 1963 Ltd.,SupplyHub|UrbanWorks|RetailCo|CoreTrade,2281329.64,417251.96
INITECH 1443 Corp,BuildIt|RetailCo,1491545.5,68229.92
OSCORP 1836 Inc,BuildIt|SupplyHub|RetailCo,995373.37,178281.77
Soylent 1837 Corporation.,CoreTrade|UrbanWorks|BuildIt|SupplyHub,9246090.26,322442.76
"Stark 776, Ltd",MegaMart|SupplyHub|CoreTrade|UrbanWorks,7291470.01,1791958.3
"Hooli 823, LLC",MegaMart|BuildIt|UrbanWorks|SupplyHub,7831156.44,1723850.24
"Initech 147, LLC",MegaMart|RetailCo|UrbanWorks,630729.84,34258.37
Gringotts 4 Ltd,RetailCo|BuildIt|SupplyHub,8077610.59,1458590.79
HOOLI 254 Limited,CoreTrade,7056717.85,642630.44
APERTURE 575 Inc,BuildIt,1664036.8,208003.22
Monarch 1828 Ltd.,CoreTrade,7369349.66,645470.16
MONARCH 740 Ltd,CoreTrade|SupplyHub|MegaMart|RetailCo,5845099.77,951293.38
"Wonka 1782, Ltd",RetailCo|MegaMart|SupplyHub|UrbanWorks,4319774.18,550456.2
VIRTUCON 448 Corp,RetailCo,9368755.51,2103093.63
Soylent 517 Inc.,BuildIt|CoreTrade,8183295.7,903231.92
"Globex 327, Inc",RetailCo,7931981.21,1774636.34
HOOLI 1924 Corporation,BuildIt|UrbanWorks|CoreTrade|SupplyHub,3805663.73,395157.33
WONKA 1791 Corporation,UrbanWorks,5056928.11,944783.03
Wonka 63,SupplyHub|CoreTrade|RetailCo,2713440.63,359157.31
Globex 247 LLC.,SupplyHub,3363495.22,161828.5
Acme 1525,RetailCo|UrbanWorks|BuildIt|SupplyHub,4655613.87,526880.79
PIED PIPER 2001 Limited,RetailCo|SupplyHub|UrbanWorks,1468390.65,348195.01
Cyberdyne 1628,CoreTrade,5893075.75,809564.45
LEXCORP 2287 Limited,SupplyHub,4726591.48,1173617.43
Wayne 245 Corp,UrbanWorks|CoreTrade|SupplyHub,1003125.4,39757.67
Wonka 2244 Ltd,RetailCo|UrbanWorks|SupplyHub,3585849.92,581804.65
WONKA 2103 Ltd,BuildIt,7974870.42,918397.08
GLOBEX 415 LLC,MegaMart|CoreTrade|SupplyHub|BuildIt,5004300.58,1178112.5
Acme 2109,MegaMart|RetailCo|UrbanWorks|BuildIt,1608225.56,352814.26
"Pied Piper 1193, Corporation",UrbanWorks|RetailCo,1816760.05,94445.8
"Cyberdyne 1145, Limited",UrbanWorks,8423317.62,825527.72
Wonka 1045,BuildIt,3314451.33,434135.55
MONARCH 75 Inc,CoreTrade|RetailCo|SupplyHub,9192673.82,923141.52
Oscorp 138 LLC,UrbanWorks,4592078.1,415690.01
"Umbrella 1759, Corporation",BuildIt,7267713.82,218924.46
Vehement 2081 Limited.,UrbanWorks|SupplyHub,2306505.77,287309.6
